"country","total_arrivals","arrivals_male","arrivals_female","longitude","latitude","country_name"
"ABW",2,0,2,-69.9667,12.5,"Aruba"
"AFG",2750,2068,682,65,33,"Afghanistan"
"AGO",169,121,48,18.5,-12.5,"Angola"
"AIA",4,3,1,-63.1667,18.25,"Anguilla"
"ALB",1549,968,581,20,41,"Albania"
"AND",194,110,84,1.6,42.5,"Andorra"
"ANT",2,0,2,-68.75,12.25,"Netherlands Antilles"
"ARE",15461,9084,6377,54,24,"United Arab Emirates"
"ARG",16051,8615,7436,-64,-34,"Argentina"
"ARM",2158,915,1243,45,40,"Armenia"
"ATA",6,3,3,0,-90,"Antarctica"
"ATG",578,373,205,-61.8,17.05,"Antigua and Barbuda"
"AUS",889069,510076,378993,133,-27,"Australia"
"AUT",33865,21168,12697,13.3333,47.3333,"Austria"
"AZE",3931,2155,1776,47.5,40.5,"Azerbaijan"
"BDI",157,79,78,30,-3.5,"Burundi"
"BEL",47579,28860,18719,4,50.8333,"Belgium"
"BEN",319,228,91,2.25,9.5,"Benin"
"BFA",209,181,28,-2,13,"Burkina Faso"
"BGD",1165402,1094288,71114,90,24,"Bangladesh"
"BGR",9556,5330,4226,25,43,"Bulgaria"
"BHR",5914,3288,2626,50.55,26,"Bahrain"
"BHS",240,123,117,-76,24.25,"Bahamas"
"BIH",2041,1208,833,18,44,"Bosnia and Herzegovina"
"BLR",11138,5194,5944,28,53,"Belarus"
"BLZ",277,146,131,-88.75,17.25,"Belize"
"BMU",4,0,4,-64.75,32.3333,"Bermuda"
"BOL",1050,575,475,-130,-34,"Bolivia"
"BRA",35881,20305,15576,-55,-10,"Brazil"
"BRB",231,107,124,-59.5333,13.1667,"Barbados"
"BRN",2588744,1409405,1179339,229.3334,9,"Brunei"
"BTN",1730,1118,612,90.5,27.5,"Bhutan"
"BVT",1,0,1,3.4,-54.4333,"Bouvet Island"
"BWA",518,233,285,24,-22,"Botswana"
"CAF",13,9,4,21,7,"Central African Republic"
"CAN",192117,109803,82314,-95,60,"Canada"
"CCK",3,2,1,96.8333,-12.5,"Cocos (Keeling) Islands"
"CHE",60473,35967,24506,8,47,"Switzerland"
"CHL",8897,4548,4349,-71,-30,"Chile"
"CHN",4008013,1928203,2079810,105,35,"China"
"CIV",685,482,203,-10,16,"Ivory Coast"
"CMR",844,579,265,12,6,"Cameroon"
"COD",430,304,126,25,0,"Democratic Republic of the Congo"
