"soe","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Johor","April","04","2020",296,236,60
"Johor","April","04","2021",842,748,94
"Johor","April","04","2022",435671,268606,167065
"Johor","April","04","2023",1227351,682404,544947
"Johor","April","04","2024",1637745,912098,725647
"Johor","August","08","2020",831,759,72
"Johor","August","08","2021",185,154,31
"Johor","August","08","2022",1122353,654584,467769
"Johor","August","08","2023",1510486,844529,665957
"Johor","December","12","2020",947,825,122
"Johor","December","12","2021",3185,1785,1400
"Johor","December","12","2022",1395639,749842,645797
"Johor","December","12","2023",1753136,934618,818518
"Johor","February","02","2020",1093546,671718,421828
"Johor","February","02","2021",819,720,99
"Johor","February","02","2022",3236,1876,1360
"Johor","February","02","2023",1096031,629023,467008
"Johor","February","02","2024",1389651,768268,621383
"Johor","January","01","2020",1621595,905601,715994
"Johor","January","01","2021",752,663,89
"Johor","January","01","2022",4815,2632,2183
"Johor","January","01","2023",1234076,693195,540881
"Johor","January","01","2024",1155378,639527,515851
"Johor","July","07","2020",811,686,125
"Johor","July","07","2021",197,163,34
"Johor","July","07","2022",1125995,655916,470079
"Johor","July","07","2023",1545948,850439,695509
"Johor","June","06","2020",387,344,43
"Johor","June","06","2021",134,114,20
"Johor","June","06","2022",943173,546327,396846
"Johor","June","06","2023",1510345,820088,690257
"Johor","June","06","2024",2077267,1112617,964650
"Johor","March","03","2020",669826,409015,260811
"Johor","March","03","2021",932,819,113
"Johor","March","03","2022",8338,4931,3407
"Johor","March","03","2023",1301585,727417,574168
"Johor","March","03","2024",1882339,1010380,871959
"Johor","May","05","2020",221,206,15
"Johor","May","05","2021",449,412,37
"Johor","May","05","2022",709855,431647,278208
"Johor","May","05","2023",1298501,738863,559638
"Johor","May","05","2024",1793130,988447,804683
"Johor","November","11","2020",1017,908,109
"Johor","November","11","2021",620,448,172
"Johor","November","11","2022",1214628,685950,528678
"Johor","November","11","2023",1558439,856873,701566
"Johor","October","10","2020",1154,1053,101
"Johor","October","10","2021",306,255,51
"Johor","October","10","2022",1208015,684451,523564
"Johor","October","10","2023",1575638,879290,696348
"Johor","September","09","2020",1314,1196,118
"Johor","September","09","2021",206,171,35
"Johor","September","09","2022",1202442,680944,521498
"Johor","September","09","2023",1599539,881702,717837
"Kedah","April","04","2020",13837,13161,676
"Kedah","April","04","2021",17851,17811,40
"Kedah","April","04","2022",21177,18506,2671
"Kedah","April","04","2023",85744,45197,40547
"Kedah","April","04","2024",68372,36233,32139
"Kedah","August","08","2020",10339,9527,812
"Kedah","August","08","2021",16343,16303,40
"Kedah","August","08","2022",49025,31879,17146
"Kedah","August","08","2023",76758,42486,34272
"Kedah","December","12","2020",14207,13895,312
"Kedah","December","12","2021",18257,18143,114
"Kedah","December","12","2022",76994,42791,34203
"Kedah","December","12","2023",106836,58873,47963
"Kedah","February","02","2020",64428,25646,38782
"Kedah","February","02","2021",16131,16088,43
"Kedah","February","02","2022",16919,16704,215
"Kedah","February","02","2023",82858,46952,35906
"Kedah","February","02","2024",104399,56535,47864
"Kedah","January","01","2020",85071,35097,49974
"Kedah","January","01","2021",17928,17913,15
"Kedah","January","01","2022",18605,18428,177
"Kedah","January","01","2023",85209,47879,37330
"Kedah","January","01","2024",110507,61870,48637
"Kedah","July","07","2020",10020,9349,671
"Kedah","July","07","2021",17481,17441,40
"Kedah","July","07","2022",53769,31280,22489
"Kedah","July","07","2023",85599,46887,38712
"Kedah","June","06","2020",11743,11001,742
