"soe","country","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Johor","AFG","April","04","2020",0,0,0
"Johor","AFG","April","04","2021",0,0,0
"Johor","AFG","April","04","2022",0,0,0
"Johor","AFG","April","04","2023",2,2,0
"Johor","AFG","August","08","2020",0,0,0
"Johor","AFG","August","08","2021",0,0,0
"Johor","AFG","August","08","2022",0,0,0
"Johor","AFG","August","08","2023",0,0,0
"Johor","AFG","December","12","2020",0,0,0
"Johor","AFG","December","12","2021",0,0,0
"Johor","AFG","December","12","2022",1,1,0
"Johor","AFG","February","02","2020",2,1,1
"Johor","AFG","February","02","2021",0,0,0
"Johor","AFG","February","02","2022",0,0,0
"Johor","AFG","February","02","2023",0,0,0
"Johor","AFG","January","01","2020",2,0,2
"Johor","AFG","January","01","2021",0,0,0
"Johor","AFG","January","01","2022",0,0,0
"Johor","AFG","January","01","2023",3,3,0
"Johor","AFG","July","07","2020",0,0,0
"Johor","AFG","July","07","2021",0,0,0
"Johor","AFG","July","07","2022",1,1,0
"Johor","AFG","July","07","2023",0,0,0
"Johor","AFG","June","06","2020",0,0,0
"Johor","AFG","June","06","2021",0,0,0
"Johor","AFG","June","06","2022",1,1,0
"Johor","AFG","June","06","2023",1,1,0
"Johor","AFG","March","03","2020",3,3,0
"Johor","AFG","March","03","2021",0,0,0
"Johor","AFG","March","03","2022",0,0,0
"Johor","AFG","March","03","2023",1,1,0
"Johor","AFG","May","05","2020",0,0,0
"Johor","AFG","May","05","2021",0,0,0
"Johor","AFG","May","05","2022",1,1,0
"Johor","AFG","May","05","2023",2,2,0
"Johor","AFG","May","05","2024",1,1,0
"Johor","AFG","November","11","2020",0,0,0
"Johor","AFG","November","11","2021",0,0,0
"Johor","AFG","November","11","2022",1,1,0
"Johor","AFG","November","11","2023",1,1,0
"Johor","AFG","October","10","2020",0,0,0
"Johor","AFG","October","10","2021",0,0,0
"Johor","AFG","October","10","2022",0,0,0
"Johor","AFG","October","10","2023",0,0,0
"Johor","AFG","September","09","2020",0,0,0
"Johor","AFG","September","09","2021",0,0,0
"Johor","AFG","September","09","2022",0,0,0
"Johor","AFG","September","09","2023",2,2,0
"Johor","AGO","April","04","2020",0,0,0
"Johor","AGO","April","04","2021",0,0,0
"Johor","AGO","April","04","2022",0,0,0
"Johor","AGO","April","04","2023",2,0,2
"Johor","AGO","August","08","2020",0,0,0
"Johor","AGO","August","08","2021",0,0,0
"Johor","AGO","August","08","2022",0,0,0
"Johor","AGO","August","08","2023",0,0,0
"Johor","AGO","December","12","2020",0,0,0
"Johor","AGO","December","12","2021",0,0,0
"Johor","AGO","December","12","2022",1,1,0
"Johor","AGO","December","12","2023",1,0,1
"Johor","AGO","February","02","2020",0,0,0
"Johor","AGO","February","02","2021",0,0,0
"Johor","AGO","February","02","2022",0,0,0
"Johor","AGO","February","02","2023",0,0,0
"Johor","AGO","January","01","2020",0,0,0
"Johor","AGO","January","01","2021",0,0,0
"Johor","AGO","January","01","2022",0,0,0
"Johor","AGO","January","01","2023",0,0,0
"Johor","AGO","January","01","2024",1,1,0
"Johor","AGO","July","07","2020",0,0,0
"Johor","AGO","July","07","2021",0,0,0
"Johor","AGO","July","07","2022",0,0,0
"Johor","AGO","July","07","2023",0,0,0
"Johor","AGO","June","06","2020",0,0,0
"Johor","AGO","June","06","2021",0,0,0
"Johor","AGO","June","06","2022",0,0,0
"Johor","AGO","June","06","2023",0,0,0
"Johor","AGO","March","03","2020",0,0,0
"Johor","AGO","March","03","2021",0,0,0
"Johor","AGO","March","03","2022",0,0,0
"Johor","AGO","March","03","2023",1,1,0
"Johor","AGO","May","05","2020",0,0,0
"Johor","AGO","May","05","2021",0,0,0
"Johor","AGO","May","05","2022",0,0,0
"Johor","AGO","May","05","2023",0,0,0
"Johor","AGO","November","11","2020",0,0,0
"Johor","AGO","November","11","2021",0,0,0
"Johor","AGO","November","11","2022",1,1,0
"Johor","AGO","November","11","2023",0,0,0
"Johor","AGO","October","10","2020",0,0,0
"Johor","AGO","October","10","2021",0,0,0
"Johor","AGO","October","10","2022",0,0,0
"Johor","AGO","October","10","2023",1,1,0
"Johor","AGO","September","09","2020",0,0,0
"Johor","AGO","September","09","2021",0,0,0
"Johor","AGO","September","09","2022",0,0,0
"Johor","AGO","September","09","2023",0,0,0
"Johor","ALB","April","04","2020",0,0,0
"Johor","ALB","April","04","2021",0,0,0
"Johor","ALB","April","04","2022",3,2,1
"Johor","ALB","April","04","2023",14,13,1
"Johor","ALB","April","04","2024",14,9,5
"Johor","ALB","August","08","2020",0,0,0
"Johor","ALB","August","08","2021",0,0,0
"Johor","ALB","August","08","2022",17,12,5
"Johor","ALB","August","08","2023",18,14,4
"Johor","ALB","December","12","2020",1,1,0
"Johor","ALB","December","12","2021",0,0,0
"Johor","ALB","December","12","2022",7,7,0
"Johor","ALB","December","12","2023",17,15,2
"Johor","ALB","February","02","2020",28,15,13
"Johor","ALB","February","02","2021",0,0,0
"Johor","ALB","February","02","2022",0,0,0
"Johor","ALB","February","02","2023",9,7,2
"Johor","ALB","February","02","2024",14,10,4
"Johor","ALB","January","01","2020",35,17,18
"Johor","ALB","January","01","2021",0,0,0
