"Major_Activities","Year","Country","Tourist_Arrivals"
"Sightseeing In The Cities",2019,"Singapore",10163882
"Sightseeing In The Cities",2019,"Thailand",1884306
"Sightseeing In The Cities",2019,"Indonesia",3623277
"Sightseeing In The Cities",2019,"Brunei",1216123
"Sightseeing In The Cities",2019,"Philippines",421908
"Sightseeing In The Cities",2019,"Vietnam",400346
"Sightseeing In The Cities",2019,"China",3114257
"Sightseeing In The Cities",2019,"Japan",424694
"Sightseeing In The Cities",2019,"South Korea",673065
"Sightseeing In The Cities",2019,"Taiwan",382916
"Sightseeing In The Cities",2019,"India",735309
"Sightseeing In The Cities",2019,"Pakistan",105757
"Sightseeing In The Cities",2019,"Saudi Arabia",121444
"Sightseeing In The Cities",2019,"United Arab Emirates",11174
"Sightseeing In The Cities",2019,"Oman",23911
"Sightseeing In The Cities",2019,"Kuwait",9632
"Sightseeing In The Cities",2019,"Iran",46559
"Sightseeing In The Cities",2019,"Canada",87568
"Sightseeing In The Cities",2019,"United States of America",269928
"Sightseeing In The Cities",2019,"United Kingdom",346485
"Sightseeing In The Cities",2019,"Ireland",19696
"Sightseeing In The Cities",2019,"Sweden",29592
"Sightseeing In The Cities",2019,"Denmark",22314
"Sightseeing In The Cities",2019,"Finland",13557
"Sightseeing In The Cities",2019,"Norway",14585
"Sightseeing In The Cities",2019,"Italy",54710
"Sightseeing In The Cities",2019,"Spain",43616
"Sightseeing In The Cities",2019,"France",141661
"Sightseeing In The Cities",2019,"Belgium",22082
"Sightseeing In The Cities",2019,"Netherlands",82110
"Sightseeing In The Cities",2019,"Germany",130221
"Sightseeing In The Cities",2019,"Switzerland",25659
"Sightseeing In The Cities",2019,"Russia",79984
"Sightseeing In The Cities",2019,"Australia",368271
"Sightseeing In The Cities",2019,"New Zealand",50140
"Sightseeing In The Cities",2019,"South Africa",22674
"Sightseeing In The Cities",2019,"Central Asia",35931
"Sightseeing In The Cities",2019,"Other ASEAN",170309
"Sightseeing In The Cities",2019,"Other East Asia",5331
"Sightseeing In The Cities",2019,"Other South Asia",254822
"Sightseeing In The Cities",2019,"Other West Asia",96504
"Sightseeing In The Cities",2019,"Other Americas",49226
"Sightseeing In The Cities",2019,"Other Europe",155032
"Sightseeing In The Cities",2019,"Others",150216
"Visiting Island & Beaches",2019,"Singapore",10163882
"Visiting Island & Beaches",2019,"Thailand",1884306
"Visiting Island & Beaches",2019,"Indonesia",3623277
"Visiting Island & Beaches",2019,"Brunei",1216123
"Visiting Island & Beaches",2019,"Philippines",421908
"Visiting Island & Beaches",2019,"Vietnam",400346
"Visiting Island & Beaches",2019,"China",3114257
"Visiting Island & Beaches",2019,"Japan",424694
"Visiting Island & Beaches",2019,"South Korea",673065
"Visiting Island & Beaches",2019,"Taiwan",382916
"Visiting Island & Beaches",2019,"India",735309
"Visiting Island & Beaches",2019,"Pakistan",105757
"Visiting Island & Beaches",2019,"Saudi Arabia",121444
"Visiting Island & Beaches",2019,"United Arab Emirates",11174
"Visiting Island & Beaches",2019,"Oman",23911
"Visiting Island & Beaches",2019,"Kuwait",9632
"Visiting Island & Beaches",2019,"Iran",46559
"Visiting Island & Beaches",2019,"Canada",87568
"Visiting Island & Beaches",2019,"United States of America",269928
"Visiting Island & Beaches",2019,"United Kingdom",346485
"Visiting Island & Beaches",2019,"Ireland",19696
"Visiting Island & Beaches",2019,"Sweden",29592
"Visiting Island & Beaches",2019,"Denmark",22314
"Visiting Island & Beaches",2019,"Finland",13557
"Visiting Island & Beaches",2019,"Norway",14585
"Visiting Island & Beaches",2019,"Italy",54710
"Visiting Island & Beaches",2019,"Spain",43616
"Visiting Island & Beaches",2019,"France",141661
"Visiting Island & Beaches",2019,"Belgium",22082
"Visiting Island & Beaches",2019,"Netherlands",82110
"Visiting Island & Beaches",2019,"Germany",130221
"Visiting Island & Beaches",2019,"Switzerland",25659
"Visiting Island & Beaches",2019,"Russia",79984
"Visiting Island & Beaches",2019,"Australia",368271
"Visiting Island & Beaches",2019,"New Zealand",50140
"Visiting Island & Beaches",2019,"South Africa",22674
"Visiting Island & Beaches",2019,"Central Asia",35931
"Visiting Island & Beaches",2019,"Other ASEAN",170309
"Visiting Island & Beaches",2019,"Other East Asia",5331
"Visiting Island & Beaches",2019,"Other South Asia",254822
"Visiting Island & Beaches",2019,"Other West Asia",96504
"Visiting Island & Beaches",2019,"Other Americas",49226
"Visiting Island & Beaches",2019,"Other Europe",155032
"Visiting Island & Beaches",2019,"Others",150216
"Shopping",2019,"Singapore",10163882
"Shopping",2019,"Thailand",1884306
"Shopping",2019,"Indonesia",3623277
"Shopping",2019,"Brunei",1216123
"Shopping",2019,"Philippines",421908
"Shopping",2019,"Vietnam",400346
"Shopping",2019,"China",3114257
"Shopping",2019,"Japan",424694
"Shopping",2019,"South Korea",673065
"Shopping",2019,"Taiwan",382916
"Shopping",2019,"India",735309
"Shopping",2019,"Pakistan",105757
"Shopping",2019,"Saudi Arabia",121444
"Shopping",2019,"United Arab Emirates",11174
"Shopping",2019,"Oman",23911
"Shopping",2019,"Kuwait",9632
"Shopping",2019,"Iran",46559
"Shopping",2019,"Canada",87568
"Shopping",2019,"United States of America",269928
"Shopping",2019,"United Kingdom",346485
"Shopping",2019,"Ireland",19696
"Shopping",2019,"Sweden",29592
"Shopping",2019,"Denmark",22314
"Shopping",2019,"Finland",13557
"Shopping",2019,"Norway",14585
"Shopping",2019,"Italy",54710
"Shopping",2019,"Spain",43616
"Shopping",2019,"France",141661
"Shopping",2019,"Belgium",22082
"Shopping",2019,"Netherlands",82110
"Shopping",2019,"Germany",130221
"Shopping",2019,"Switzerland",25659
"Shopping",2019,"Russia",79984
"Shopping",2019,"Australia",368271
"Shopping",2019,"New Zealand",50140
"Shopping",2019,"South Africa",22674
"Shopping",2019,"Central Asia",35931
"Shopping",2019,"Other ASEAN",170309
"Shopping",2019,"Other East Asia",5331
"Shopping",2019,"Other South Asia",254822
"Shopping",2019,"Other West Asia",96504
"Shopping",2019,"Other Americas",49226
"Shopping",2019,"Other Europe",155032
"Shopping",2019,"Others",150216
"Visiting Museum",2019,"Singapore",10163882
"Visiting Museum",2019,"Thailand",1884306
"Visiting Museum",2019,"Indonesia",3623277
"Visiting Museum",2019,"Brunei",1216123
"Visiting Museum",2019,"Philippines",421908
"Visiting Museum",2019,"Vietnam",400346
"Visiting Museum",2019,"China",3114257
"Visiting Museum",2019,"Japan",424694
"Visiting Museum",2019,"South Korea",673065
"Visiting Museum",2019,"Taiwan",382916
"Visiting Museum",2019,"India",735309
"Visiting Museum",2019,"Pakistan",105757
"Visiting Museum",2019,"Saudi Arabia",121444
"Visiting Museum",2019,"United Arab Emirates",11174
"Visiting Museum",2019,"Oman",23911
"Visiting Museum",2019,"Kuwait",9632
"Visiting Museum",2019,"Iran",46559
"Visiting Museum",2019,"Canada",87568
"Visiting Museum",2019,"United States of America",269928
"Visiting Museum",2019,"United Kingdom",346485
