"ranking","country","country_name","total_arrivals","longitude","latitude"
1,"SGP","Singapore",34496707,103.8,1.3667
2,"IDN","Indonesia",8477856,120,-5
3,"THA","Thailand",5647418,100,15
4,"CHN","China",4008013,105,35
5,"BRN","Brunei",2588744,229.3334,9
6,"IND","India",2345086,77,20
7,"BGD","Bangladesh",1165402,90,24
8,"PHL","Philippines",1147669,122,13
9,"KOR","South Korea",1057434,255,74
10,"AUS","Australia",889069,133,-27
11,"VNM","Vietnam",878361,212,32
12,"GBR","United Kingdom",780219,-2,54
13,"JPN","Japan",739722,138,36
14,"TWN","Taiwan",639102,121,23.5
15,"USA","United States",607643,-97,38
16,"NPL","Nepal",449691,84,28
17,"MMR","Myanmar",360931,196,44
18,"PAK","Pakistan",355369,70,30
19,"DEU","Germany",339408,9,51
20,"FRA","France",335976,2,46
21,"RUS","Russia",281242,200,120
22,"KHM","Cambodia",210154,105,13
23,"CAN","Canada",192117,-95,60
24,"NLD","Netherlands",174610,5.75,52.5
25,"SAU","Saudi Arabia",151906,45,25
26,"LKA","Sri Lanka",138706,81,7
27,"ITA","Italy",123871,12.8333,42.8333
28,"NZL","New Zealand",113255,174,-41
29,"ESP","Spain",105701,-4,40
30,"MDV","Maldives",80329,73,3.25
31,"POL","Poland",61737,20,52
32,"EGY","Egypt",61353,30,27
33,"IRN","Iran",61065,53,32
34,"CHE","Switzerland",60473,8,47
35,"LAO","Laos",55101,105,18
36,"SWE","Sweden",53494,15,62
37,"IRL","Ireland",51700,-8,53
38,"TUR","Turkey",50414,35,39
39,"DNK","Denmark",47641,10,56
40,"BEL","Belgium",47579,4,50.8333
41,"ZAF","South Africa",45266,24,-29
42,"YEM","Yemen",43725,48,15
43,"MUS","Mauritius",41679,57.55,-20.2833
44,"OMN","Oman",39478,57,21
45,"KAZ","Kazakhstan",39276,68,48
46,"UZB","Uzbekistan",36853,64,41
47,"UKR","Ukraine",36714,32,49
48,"BRA","Brazil",35881,-55,-10
49,"IRQ","Iraq",34226,44,33
50,"AUT","Austria",33865,13.3333,47.3333
51,"SDN","Sudan",30589,30,15
52,"NOR","Norway",30007,10,62
53,"MAR","Morocco",28552,-5,32
54,"FIN","Finland",28014,26,64
55,"PRT","Portugal",27939,-8,39.5
56,"HKG","Hong Kong",27640,114.1667,22.25
57,"ROU","Romania",25980,25,46
58,"CZE","Czech Republic",25563,15.5,49.75
59,"JOR","Jordan",24557,36,31
60,"KWT","Kuwait",22762,47.6581,29.3375
61,"MEX","Mexico",22342,-102,23
62,"DZA","Algeria",22332,3,28
63,"HUN","Hungary",21586,20,47
64,"SYR","Syria",20529,38,35
65,"TUN","Tunisia",18392,9,34
66,"MNG","Mongolia",16414,105,46
67,"ARG","Argentina",16051,-64,-34
68,"NGA","Nigeria",15552,8,10
69,"ARE","United Arab Emirates",15461,54,24
70,"XXX","Other/Unknown",14334,NA,NA
