"year","soe","total_arrivals","rank"
"2020","Johor",3391945,1
"2020","Selangor",1619117,2
"2020","Sarawak",297383,3
"2020","Kedah",289242,4
"2020","Perlis",161218,5
"2020","Pulau Pinang",135829,6
"2020","Sabah",102507,7
"2020","Kelantan",100375,8
"2020","Perak",46530,9
"2020","Melaka",10303,10
"2020","Negeri Sembilan",8352,11
"2020","W.P. Labuan",7366,12
"2020","Pahang",1792,13
"2020","Terengganu",49,14
"2021","Kedah",215047,1
"2021","Selangor",133015,2
"2021","Perlis",100921,3
"2021","Sarawak",9907,4
"2021","Johor",8627,5
"2021","Pulau Pinang",2639,6
"2021","Sabah",156,7
"2021","W.P. Labuan",90,8
"2021","Perak",69,9
"2021","Terengganu",47,10
"2021","Kelantan",27,11
"2021","Melaka",7,12
"2021","Pahang",7,13
"2021","Negeri Sembilan",0,14
"2022","Johor",9374160,1
"2022","Selangor",3252445,2
"2022","Sarawak",628152,3
"2022","Kedah",537127,4
"2022","Perlis",437251,5
"2022","Pulau Pinang",390584,6
"2022","Kelantan",186149,7
"2022","Sabah",142154,8
"2022","Perak",92868,9
"2022","Negeri Sembilan",50226,10
"2022","Melaka",49385,11
"2022","W.P. Labuan",6375,12
"2022","Pahang",1603,13
"2022","Terengganu",33,14
"2023","Johor",17211075,1
"2023","Selangor",7553241,2
"2023","Sarawak",1659515,3
"2023","Kedah",1067038,4
"2023","Pulau Pinang",1033007,5
"2023","Perlis",686268,6
"2023","Kelantan",547203,7
"2023","Sabah",354341,8
"2023","Perak",229234,9
"2023","Negeri Sembilan",85615,10
"2023","Melaka",56977,11
"2023","W.P. Labuan",22527,12
"2023","Pahang",9211,13
"2023","Terengganu",52,14
"2024","Johor",9935510,1
"2024","Selangor",4757639,2
"2024","Sarawak",1226087,3
"2024","Pulau Pinang",607978,4
"2024","Kedah",545741,5
"2024","Perlis",336704,6
"2024","Kelantan",336325,7
"2024","Sabah",333854,8
"2024","Perak",114713,9
"2024","Negeri Sembilan",36289,10
"2024","Melaka",23987,11
"2024","W.P. Labuan",11178,12
"2024","Pahang",5425,13
"2024","Terengganu",82,14
